===== ejemplo1_suma =====

--- Resumen ---
Tokens reconocidos : 67
Errores lexicos     : 0
(KW_FN         , 'fn', linea 4)
(IDENT         , 'suma', linea 4)
(LPAREN        , '(', linea 4)
(IDENT         , 'a', linea 4)
(COLON         , ':', linea 4)
(TY_INT        , 'i32', linea 4)
(COMMA         , ',', linea 4)
(IDENT         , 'b', linea 4)
(COLON         , ':', linea 4)
(TY_INT        , 'i32', linea 4)
(RPAREN        , ')', linea 4)
(OP_ARROW      , '->', linea 4)
(TY_INT        , 'i32', linea 4)
(LBRACE        , '{', linea 4)
(KW_LET        , 'let', linea 5)
(KW_MUT        , 'mut', linea 5)
(IDENT         , 'resultado', linea 5)
(COLON         , ':', linea 5)
(TY_INT        , 'i32', linea 5)
(OP_ASSIGN     , '=', linea 5)
(IDENT         , 'a', linea 5)
(OP_PLUS       , '+', linea 5)
(IDENT         , 'b', linea 5)
(SEMI          , ';', linea 5)
(IDENT         , 'resultado', linea 6)
(OP_PLUSEQ     , '+=', linea 6)
(INT_LIT       , '1', linea 6)
(SEMI          , ';', linea 6)
(KW_RETURN     , 'return', linea 7)
(IDENT         , 'resultado', linea 7)
(SEMI          , ';', linea 7)
(RBRACE        , '}', linea 8)
(KW_FN         , 'fn', linea 10)
(IDENT         , 'main', linea 10)
(LPAREN        , '(', linea 10)
(RPAREN        , ')', linea 10)
(LBRACE        , '{', linea 10)
(KW_LET        , 'let', linea 11)
(IDENT         , 'x', linea 11)
(COLON         , ':', linea 11)
(TY_INT        , 'i32', linea 11)
(OP_ASSIGN     , '=', linea 11)
(INT_LIT       , '10', linea 11)
(SEMI          , ';', linea 11)
(KW_LET        , 'let', linea 12)
(IDENT         , 'y', linea 12)
(COLON         , ':', linea 12)
(TY_INT        , 'i32', linea 12)
(OP_ASSIGN     , '=', linea 12)
(INT_LIT       , '20', linea 12)
(SEMI          , ';', linea 12)
(KW_LET        , 'let', linea 13)
(IDENT         , 'total', linea 13)
(OP_ASSIGN     , '=', linea 13)
(IDENT         , 'suma', linea 13)
(LPAREN        , '(', linea 13)
(IDENT         , 'x', linea 13)
(COMMA         , ',', linea 13)
(IDENT         , 'y', linea 13)
(RPAREN        , ')', linea 13)
(SEMI          , ';', linea 13)
(IDENT         , 'println_valor', linea 14)
(LPAREN        , '(', linea 14)
(IDENT         , 'total', linea 14)
(RPAREN        , ')', linea 14)
(SEMI          , ';', linea 14)
(RBRACE        , '}', linea 15)
----- fin ejemplo1_suma -----
