===== ejemplo2_struct =====
(KW_STRUCT     , 'struct', linea 4)
(IDENT         , 'Punto', linea 4)
(LBRACE        , '{', linea 4)
(IDENT         , 'x', linea 5)
(COLON         , ':', linea 5)
(TY_FLOAT      , 'f64', linea 5)
(COMMA         , ',', linea 5)
(IDENT         , 'y', linea 6)
(COLON         , ':', linea 6)
(TY_FLOAT      , 'f64', linea 6)
(COMMA         , ',', linea 6)
(RBRACE        , '}', linea 7)
(KW_IMPL       , 'impl', linea 9)
(IDENT         , 'Punto', linea 9)
(LBRACE        , '{', linea 9)
(KW_FN         , 'fn', linea 10)
(IDENT         , 'distancia_origen', linea 10)
(LPAREN        , '(', linea 10)
(KW_SELF       , 'self', linea 10)
(RPAREN        , ')', linea 10)
(OP_ARROW      , '->', linea 10)
(TY_FLOAT      , 'f64', linea 10)
(LBRACE        , '{', linea 10)
(KW_IF         , 'if', linea 11)
(KW_SELF       , 'self', linea 11)
(DOT           , '.', linea 11)
(IDENT         , 'x', linea 11)
(OP_EQ         , '==', linea 11)
(FLOAT_LIT     , '0.0', linea 11)
(OP_AND        , '&&', linea 11)
(KW_SELF       , 'self', linea 11)
(DOT           , '.', linea 11)
(IDENT         , 'y', linea 11)
(OP_EQ         , '==', linea 11)
(FLOAT_LIT     , '0.0', linea 11)
(LBRACE        , '{', linea 11)
(KW_RETURN     , 'return', linea 12)
(FLOAT_LIT     , '0.0', linea 12)
(SEMI          , ';', linea 12)
(RBRACE        , '}', linea 13)
(KW_ELSE       , 'else', linea 13)
(LBRACE        , '{', linea 13)
(KW_RETURN     , 'return', linea 14)
(KW_SELF       , 'self', linea 14)
(DOT           , '.', linea 14)
(IDENT         , 'x', linea 14)
(OP_STAR       , '*', linea 14)
(KW_SELF       , 'self', linea 14)
(DOT           , '.', linea 14)
(IDENT         , 'x', linea 14)
(OP_PLUS       , '+', linea 14)
(KW_SELF       , 'self', linea 14)
(DOT           , '.', linea 14)
(IDENT         , 'y', linea 14)
(OP_STAR       , '*', linea 14)
(KW_SELF       , 'self', linea 14)
(DOT           , '.', linea 14)
(IDENT         , 'y', linea 14)
(SEMI          , ';', linea 14)
(RBRACE        , '}', linea 15)
(RBRACE        , '}', linea 16)
(RBRACE        , '}', linea 17)
(KW_FN         , 'fn', linea 19)
(IDENT         , 'clasificar', linea 19)
(LPAREN        , '(', linea 19)
(IDENT         , 'n', linea 19)
(COLON         , ':', linea 19)
(TY_INT        , 'i32', linea 19)
(RPAREN        , ')', linea 19)
(OP_ARROW      , '->', linea 19)
(TY_STR        , 'str', linea 19)
(LBRACE        , '{', linea 19)
(KW_MATCH      , 'match', linea 20)
(IDENT         , 'n', linea 20)
(LBRACE        , '{', linea 20)
(INT_LIT       , '0', linea 21)
(OP_FATARROW   , '=>', linea 21)
(STRING_LIT    , '"cero"', linea 21)
(COMMA         , ',', linea 21)
(IDENT         , '_', linea 22)
(OP_FATARROW   , '=>', linea 22)
(STRING_LIT    , '"otro"', linea 22)
(COMMA         , ',', linea 22)
(RBRACE        , '}', linea 23)
(RBRACE        , '}', linea 24)
(KW_FN         , 'fn', linea 26)
(IDENT         , 'main', linea 26)
(LPAREN        , '(', linea 26)
(RPAREN        , ')', linea 26)
(LBRACE        , '{', linea 26)
(KW_LET        , 'let', linea 27)
(IDENT         , 'p', linea 27)
(COLON         , ':', linea 27)
(IDENT         , 'Punto', linea 27)
(OP_ASSIGN     , '=', linea 27)
(IDENT         , 'Punto', linea 27)
(LBRACE        , '{', linea 27)
(IDENT         , 'x', linea 27)
(COLON         , ':', linea 27)
(FLOAT_LIT     , '3.5', linea 27)
(COMMA         , ',', linea 27)
(IDENT         , 'y', linea 27)
(COLON         , ':', linea 27)
(FLOAT_LIT     , '4.5', linea 27)
(RBRACE        , '}', linea 27)
(SEMI          , ';', linea 27)
(KW_LET        , 'let', linea 28)
(IDENT         , 'd', linea 28)
(OP_ASSIGN     , '=', linea 28)
(IDENT         , 'p', linea 28)
(DOT           , '.', linea 28)
(IDENT         , 'distancia_origen', linea 28)
(LPAREN        , '(', linea 28)
(RPAREN        , ')', linea 28)
(SEMI          , ';', linea 28)
(KW_LET        , 'let', linea 29)
(IDENT         , 'activo', linea 29)
(COLON         , ':', linea 29)
(TY_BOOL       , 'bool', linea 29)
(OP_ASSIGN     , '=', linea 29)
(BOOL_LIT      , 'true', linea 29)
(SEMI          , ';', linea 29)
(KW_LET        , 'let', linea 30)
(IDENT     
--- Resumen ---
Tokens reconocidos : 135
Errores lexicos     : 0
    , 'etiqueta', linea 30)
(OP_ASSIGN     , '=', linea 30)
(CHAR_LIT      , ''A'', linea 30)
(SEMI          , ';', linea 30)
(KW_LET        , 'let', linea 31)
(IDENT         , 'nombre', linea 31)
(COLON         , ':', linea 31)
(TY_STRING     , 'String', linea 31)
(OP_ASSIGN     , '=', linea 31)
(STRING_LIT    , '"MiniRust"', linea 31)
(SEMI          , ';', linea 31)
(RBRACE        , '}', linea 32)
----- fin ejemplo2_struct -----
