===== ejemplo3_bucles_error =====
ERROR LEXICO: caracter no reconocido '@' en la linea 28

--- Resumen ---
Tokens reconocidos : 95
Errores lexicos     : 1
(KW_FN         , 'fn', linea 5)
(IDENT         , 'contar', linea 5)
(LPAREN        , '(', linea 5)
(IDENT         , 'limite', linea 5)
(COLON         , ':', linea 5)
(TY_UINT       , 'u32', linea 5)
(RPAREN        , ')', linea 5)
(LBRACE        , '{', linea 5)
(KW_LET        , 'let', linea 6)
(KW_MUT        , 'mut', linea 6)
(IDENT         , 'i', linea 6)
(COLON         , ':', linea 6)
(TY_UINT       , 'u32', linea 6)
(OP_ASSIGN     , '=', linea 6)
(INT_LIT       , '0', linea 6)
(SEMI          , ';', linea 6)
(KW_WHILE      , 'while', linea 7)
(IDENT         , 'i', linea 7)
(OP_LT         , '<', linea 7)
(IDENT         , 'limite', linea 7)
(LBRACE        , '{', linea 7)
(IDENT         , 'i', linea 8)
(OP_PLUSEQ     , '+=', linea 8)
(INT_LIT       , '1', linea 8)
(SEMI          , ';', linea 8)
(RBRACE        , '}', linea 9)
(KW_FOR        , 'for', linea 11)
(IDENT         , 'n', linea 11)
(KW_IN         , 'in', linea 11)
(INT_LIT       , '0', linea 11)
(DOT           , '.', linea 11)
(DOT           , '.', linea 11)
(IDENT         , 'limite', linea 11)
(LBRACE        , '{', linea 11)
(KW_IF         , 'if', linea 12)
(IDENT         , 'n', linea 12)
(OP_PERCENT    , '%', linea 12)
(INT_LIT       , '2', linea 12)
(OP_EQ         , '==', linea 12)
(INT_LIT       , '0', linea 12)
(LBRACE        , '{', linea 12)
(KW_CONTINUE   , 'continue', linea 13)
(SEMI          , ';', linea 13)
(RBRACE        , '}', linea 14)
(RBRACE        , '}', linea 15)
(KW_LET        , 'let', linea 17)
(KW_MUT        , 'mut', linea 17)
(IDENT         , 'contador', linea 17)
(OP_ASSIGN     , '=', linea 17)
(INT_LIT       , '0', linea 17)
(SEMI          , ';', linea 17)
(KW_LOOP       , 'loop', linea 18)
(LBRACE        , '{', linea 18)
(IDENT         , 'contador', linea 19)
(OP_PLUSEQ     , '+=', linea 19)
(INT_LIT       , '1', linea 19)
(SEMI          , ';', linea 19)
(KW_IF         , 'if', linea 20)
(IDENT         , 'contador', linea 20)
(OP_GE         , '>=', linea 20)
(INT_LIT       , '5', linea 20)
(LBRACE        , '{', linea 20)
(KW_BREAK      , 'break', linea 21)
(SEMI          , ';', linea 21)
(RBRACE        , '}', linea 22)
(RBRACE        , '}', linea 23)
(RBRACE        , '}', linea 24)
(KW_FN         , 'fn', linea 26)
(IDENT         , 'main', linea 26)
(LPAREN        , '(', linea 26)
(RPAREN        , ')', linea 26)
(LBRACE        , '{', linea 26)
(KW_LET        , 'let', linea 27)
(IDENT         , 'numeros', linea 27)
(COLON         , ':', linea 27)
(TY_VEC        , 'Vec', linea 27)
(OP_ASSIGN     , '=', linea 27)
(TY_VEC        , 'Vec', linea 27)
(OP_PATHSEP    , '::', linea 27)
(IDENT         , 'new', linea 27)
(LPAREN        , '(', linea 27)
(RPAREN        , ')', linea 27)
(SEMI          , ';', linea 27)
(KW_LET        , 'let', linea 28)
(IDENT         , 'v', linea 28)
(IDENT         , 'lor', linea 28)
(OP_ASSIGN     , '=', linea 28)
(INT_LIT       , '10', linea 28)
(SEMI          , ';', linea 28)
(IDENT         , 'contar', linea 29)
(LPAREN        , '(', linea 29)
(IDENT         , 'numeros', linea 29)
(RPAREN        , ')', linea 29)
(SEMI          , ';', linea 29)
(RBRACE        , '}', linea 30)
----- fin ejemplo3_bucles_error -----
